LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17
0.412328,0.02889,0.014731,0.014397,0.009392,0.008963,0.009201,0.016209,0.020118,0.012967,0.010107,0.008677,0.009201,0.011632,0.013492,0.028223,0.027603,0.343869
0.509913,0.026938,0.013602,0.010313,0.005912,0.006801,0.007424,0.013514,0.020004,0.01098,0.007201,0.005112,0.006268,0.011513,0.013602,0.023026,0.023871,0.284006
0.497003,0.022572,0.014205,0.01401,0.01004,0.009885,0.011286,0.015917,0.020898,0.013309,0.009729,0.007783,0.008717,0.010663,0.013115,0.021132,0.023467,0.276269
0.520794,0.02123,0.014484,0.013492,0.010675,0.012262,0.012619,0.017778,0.026032,0.015595,0.012063,0.011151,0.01004,0.013413,0.011468,0.017817,0.02123,0.237857
0.51457,0.020576,0.010877,0.015625,0.011648,0.01457,0.017938,0.02358,0.036404,0.019521,0.014651,0.012256,0.010552,0.013068,0.009659,0.016396,0.019237,0.218872
0.335262,0.024354,0.019199,0.022803,0.021211,0.024899,0.030349,0.045272,0.060865,0.037098,0.023139,0.01857,0.015007,0.016432,0.011024,0.017312,0.021169,0.256036
0.463636,0.019167,0.016174,0.018864,0.016477,0.019924,0.023864,0.034242,0.04303,0.029659,0.01697,0.014015,0.012197,0.015758,0.00947,0.013636,0.013182,0.219735
0.272039,0.021053,0.016118,0.021382,0.020066,0.032895,0.032237,0.062829,0.082566,0.044737,0.021711,0.020395,0.012171,0.015132,0.013158,0.024013,0.019408,0.268092
0.422492,0.018634,0.012288,0.018685,0.017526,0.0209,0.031326,0.047341,0.057363,0.036563,0.0209,0.016066,0.012742,0.013548,0.010022,0.012641,0.014353,0.21661
0.398174,0.019481,0.014367,0.023945,0.019521,0.023336,0.029221,0.049269,0.067695,0.039286,0.025933,0.02017,0.014123,0.018385,0.011201,0.014448,0.0153,0.196144
0.497003,0.022572,0.014205,0.01401,0.01004,0.009885,0.011286,0.015917,0.020898,0.013309,0.009729,0.007783,0.008717,0.010663,0.013115,0.021132,0.023467,0.276269
0.509913,0.026938,0.013602,0.010313,0.005912,0.006801,0.007424,0.013514,0.020004,0.01098,0.007201,0.005112,0.006268,0.011513,0.013602,0.023026,0.023871,0.284006
0.513111,0.020677,0.011513,0.009727,0.007049,0.008271,0.011513,0.023825,0.036231,0.021053,0.011795,0.008459,0.007284,0.008694,0.01015,0.019267,0.020301,0.251081
0.594669,0.011121,0.009835,0.011489,0.009881,0.012776,0.017371,0.034283,0.052206,0.029366,0.015165,0.010386,0.007812,0.009835,0.007767,0.010754,0.010708,0.144577
0.553864,0.024167,0.01197,0.009508,0.00553,0.006288,0.006402,0.011932,0.017576,0.01197,0.006061,0.006742,0.005682,0.010189,0.01178,0.020606,0.021629,0.258106
0.412328,0.02889,0.014731,0.014397,0.009392,0.008963,0.009201,0.016209,0.020118,0.012967,0.010107,0.008677,0.009201,0.011632,0.013492,0.028223,0.027603,0.343869
0.547854,0.017681,0.011575,0.013411,0.013022,0.014293,0.017045,0.021986,0.03095,0.018175,0.012069,0.012281,0.010093,0.012034,0.009705,0.015387,0.015528,0.20691
0.525194,0.019886,0.011775,0.013756,0.011102,0.012747,0.015214,0.020634,0.025344,0.018615,0.013046,0.011102,0.008597,0.01028,0.01013,0.016709,0.015999,0.23987
0.507284,0.020912,0.013432,0.01727,0.012022,0.014137,0.014294,0.022517,0.032229,0.017309,0.013589,0.012022,0.012296,0.01586,0.010143,0.018092,0.020246,0.226347
0.412328,0.02889,0.014731,0.014397,0.009392,0.008963,0.009201,0.016209,0.020118,0.012967,0.010107,0.008677,0.009201,0.011632,0.013492,0.028223,0.027603,0.343869
0.435308,0.026283,0.014785,0.015415,0.011101,0.012803,0.015182,0.020616,0.032976,0.022318,0.015229,0.013246,0.01257,0.015089,0.014179,0.020779,0.020103,0.28202
0.472253,0.016346,0.014057,0.017697,0.01527,0.018361,0.02152,0.034501,0.055655,0.036218,0.022894,0.018017,0.015179,0.016827,0.010852,0.014263,0.016232,0.18386
0.375447,0.02032,0.015352,0.01873,0.015799,0.017364,0.025238,0.031995,0.051893,0.041112,0.030132,0.02422,0.017687,0.017687,0.013687,0.018507,0.020494,0.244336
0.400845,0.025029,0.01655,0.01757,0.014103,0.014452,0.017424,0.024971,0.035286,0.021882,0.014627,0.012238,0.012267,0.015152,0.014307,0.023397,0.021125,0.298776
0.396102,0.019564,0.013614,0.018354,0.01722,0.020069,0.027405,0.041625,0.050978,0.041751,0.029649,0.021354,0.016388,0.016211,0.011068,0.015657,0.016615,0.226377
0.470602,0.014699,0.010359,0.014236,0.014988,0.019618,0.023669,0.034259,0.042998,0.036632,0.026042,0.017188,0.012558,0.012211,0.010301,0.013889,0.016146,0.209606
0.230373,0.020871,0.015498,0.024378,0.022342,0.024321,0.037613,0.060549,0.0819,0.058314,0.038518,0.025735,0.01957,0.019514,0.012641,0.017223,0.01759,0.273049
0.240248,0.029992,0.020777,0.021794,0.018628,0.022586,0.029229,0.043843,0.053907,0.041667,0.029229,0.020155,0.017696,0.018798,0.01566,0.022869,0.026063,0.32686
0.399242,0.020362,0.016892,0.022827,0.021046,0.02059,0.029241,0.046361,0.074416,0.043485,0.024014,0.01906,0.012966,0.016321,0.010181,0.013445,0.012852,0.196699
